objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment
"& Cetera","8257","0","","0","0","0","1","0","0","0","0","1","2","","","","","","28959697","6.02997","7.92874","4.1346","0","1567","thing","& Cetera","1","6","240","240","240","2003","1,2,3,4,5,6","","12+","No necessary in-game text","","","",,"","","","","","","","",""
"12 Realms","68606","0","","0","1","0","0","0","0","0","0","0","","","","","","","29352026","5.63798","6.05539","2.027","4490","1045","thing","12 Realms","1","6","90","90","90","2010","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"12 Realms: Ancestors Legacy","154310","0","","0","1","0","0","0","0","0","0","0","","","","","","","29352023","5.53758","6.88462","2.3333","0","276","thing","12 Realms: Ancestors Legacy","1","6","60","60","60","2015","","","","","","","",,"","","","","","","","",""
"1775: Rebellion","128996","0","","0","1","0","0","0","0","0","0","0","","","","","","","20453453","7.14675","7.86503","2.2971","206","2697","thing","1775: Rebellion","2","4","120","120","60","2013","2,3,4","2,4","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"1960: The Making of the President","27708","0","","0","1","1","0","0","0","0","0","0","","","","","","","20176789","7.33315","7.56333","3.1954","123","7077","thing","1960: The Making of the President","2","2","90","90","90","2007","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"51st State","73369","0","","0","1","1","0","0","0","0","0","0","","","","","","","17128456","6.58826","6.97674","3.1031","671","3126","thing","51st State","2","4","90","90","40","2010","2,3,4","2,3","12+","No necessary in-game text","","","",,"","","","","","","","",""
"7 Ages","3870","0","","0","0","0","1","0","0","0","0","1","2","","","","","","28818445","6.31359","7.06607","3.9274","1081","1266","thing","7 Ages","2","7","480","480","480","2004","3,4,5,6,7","5","16+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Age of Industry","65901","0","","0","1","1","0","0","0","0","0","0","","","","","","","24725401","7.02262","7.49937","3.3559","289","2786","thing","Age of Industry","2","5","120","120","120","2010","3,4,5","4","12+","No necessary in-game text","","","",,"","","","","","","","",""
"The Agents","141932","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549697","6.07165","6.50818","2.3537","1639","2606","thing","The Agents","2","5","40","40","20","2013","2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Agents of SMERSH","111105","0","","0","1","0","0","0","0","0","0","0","","","","","","","17796956","6.44627","7.1215","2.5","864","2206","thing","Agents of SMERSH","1","4","90","90","90","2012","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Agricola","31260","7.75","","0","1","0","0","0","0","0","0","0","","","","","","","10936136","8.01083","8.09463","3.6253","7","50608","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Agricola: Farmers of the Moor","43018","0","","0","1","0","0","0","0","0","0","0","","","","","","","10936147","7.71913","8.13115","3.5151","0","10822","thing","Agricola: Farmers of the Moor","1","5","200","200","100","2009","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Akrotiri","154458","0","","0","1","0","0","0","0","0","0","0","","","","","","","27204898","6.57402","7.39767","2.6875","688","2080","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Albion's Legacy","158973","0","","0","1","0","0","0","0","0","0","0","","","","","","","27042065","5.62584","7.23292","3.4545","4730","281","thing","Albion's Legacy","1","6","90","90","90","2015","1,2,3,4,5","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Alchemists","161970","0","","0","1","0","0","0","0","0","0","0","","","","","","","31539472","7.54183","7.83086","3.6972","64","8716","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Alien Frontiers","48726","7","","0","1","0","0","0","0","0","0","0","","","","","","","15587587","7.37483","7.53418","2.5622","106","10024","thing","Alien Frontiers","2","4","90","90","90","2010","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Alien Uprising","72204","0","","0","1","1","0","0","0","0","0","0","","","","","","","24676712","5.681","6.42304","3.1667","3893","660","thing","Alien Uprising","1","5","90","90","90","2014","1,2,3,4,5","","8+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
